date,1001A,1002A,1003A,1004A,1005A,1006A,1007A,1008A,1009A,1010A,1011A,1012A,1013A,1014A,1015A,1016A,1017A,1018A,1019A,1020A,1021A,1023A,1024A,1025A,1026A,1027A,1028A,1029A,1030A,1031A,1032A,1033A,1034A,1035A,1036A,1037A,1038A,1039A,1040A,1041A,1042A,1043A,1044A,1045A,1046A,1047A,1048A,1049A,1050A,1051A,1052A,1053A,1054A,1055A,1056A,1057A,1058A,1059A,1060A,1061A,1062A,1063A,1064A,1065A,1066A,1067A,1068A,1069A,1070A,1071A,1072A,1073A,1074A,1075A,1076A,1077A,1078A,1079A,1080A
20151203,7.571428571428571,8.523809523809524,10.434782608695652,10.521739130434783,9.652173913043478,9.652173913043478,7.956521739130435,11.608695652173912,9.826086956521738,13.956521739130435,9.130434782608695,11.818181818181818,,13.956521739130435,12.0,10.391304347826088,12.173913043478262,15.26086956521739,11.26086956521739,,10.318181818181818,18.47826086956522,11.391304347826088,12.954545454545455,21.4,22.09090909090909,,10.869565217391305,18.73913043478261,13.826086956521738,10.130434782608695,12.478260869565217,20.217391304347824,20.82608695652174,13.521739130434783,10.782608695652174,15.217391304347826,17.857142857142858,11.045454545454545,20.26086956521739,12.416666666666666,8.347826086956522,11.956521739130435,8.0,7.695652173913044,28.08695652173913,37.21739130434783,34.82608695652174,28.043478260869566,27.52173913043478,14.0,18.08695652173913,27.17391304347826,18.695652173913043,22.217391304347824,24.217391304347824,11.73913043478261,4.8,13.0,16.82608695652174,17.130434782608695,21.869565217391305,13.217391304347826,13.285714285714286,10.0,15.695652173913043,17.695652173913043,19.391304347826086,10.347826086956522,22.08695652173913,23.73913043478261,13.173913043478262,28.0,30.82608695652174,34.30434782608695,14.26086956521739,35.69565217391305,15.26086956521739,13.304347826086957
20151204,39.17391304347826,12.652173913043478,31.681818181818183,35.0,25.08695652173913,30.304347826086957,28.0,16.91304347826087,20.869565217391305,13.73913043478261,25.347826086956523,36.26086956521739,,41.91304347826087,42.91304347826087,30.608695652173914,31.695652173913043,31.08695652173913,41.04347826086956,,31.434782608695652,32.65217391304348,28.52173913043478,31.217391304347824,24.52173913043478,42.73913043478261,,36.0,46.608695652173914,42.04347826086956,36.91304347826087,46.26086956521739,49.69565217391305,18.47826086956522,26.26086956521739,21.91304347826087,25.434782608695652,33.17391304347826,26.26086956521739,27.142857142857142,17.166666666666668,14.347826086956522,16.434782608695652,8.130434782608695,9.826086956521738,75.34782608695652,97.8695652173913,115.3913043478261,78.65217391304348,116.69565217391305,150.1304347826087,98.3913043478261,110.78260869565217,82.73913043478261,124.1304347826087,35.73913043478261,14.73913043478261,20.130434782608695,12.130434782608695,22.90909090909091,21.956521739130434,28.608695652173914,15.434782608695652,21.285714285714285,12.416666666666666,55.47826086956522,43.69565217391305,46.78260869565217,24.130434782608695,62.55555555555556,50.34782608695652,40.30434782608695,55.27272727272727,69.82608695652173,69.04347826086956,66.21739130434783,88.1304347826087,61.21739130434783,52.65217391304348
20151205,54.458333333333336,18.833333333333332,53.69565217391305,56.65217391304348,46.63636363636363,51.291666666666664,64.34782608695652,33.04545454545455,35.25,24.458333333333332,50.166666666666664,78.68181818181819,,54.708333333333336,66.5,47.416666666666664,48.833333333333336,46.625,69.91666666666667,,65.95833333333333,50.0,73.66666666666667,63.26086956521739,49.791666666666664,104.125,,52.125,65.29166666666667,36.291666666666664,60.083333333333336,70.875,67.08333333333333,39.666666666666664,40.458333333333336,38.791666666666664,39.166666666666664,58.375,45.583333333333336,62.25,19.791666666666668,21.083333333333332,14.791666666666666,9.625,18.041666666666668,118.41666666666667,143.58333333333334,188.54166666666666,123.33333333333333,216.79166666666666,348.5,216.04166666666666,208.875,208.95833333333334,227.125,33.833333333333336,22.208333333333332,22.625,10.166666666666666,28.083333333333332,40.666666666666664,49.625,35.958333333333336,44.208333333333336,17.541666666666668,81.5,61.833333333333336,55.541666666666664,38.291666666666664,81.5,79.0,58.291666666666664,122.33333333333333,120.66666666666667,138.04166666666666,94.20833333333333,97.04166666666667,98.66666666666667,77.66666666666667
20151206,151.65217391304347,82.17391304347827,153.8695652173913,148.2173913043478,158.8695652173913,132.52173913043478,114.8695652173913,117.27272727272727,74.30434782608695,89.47826086956522,137.17391304347825,117.6086956521739,,54.95652173913044,61.34782608695652,50.42857142857143,60.69565217391305,53.26086956521739,72.3913043478261,,50.56521739130435,38.43478260869565,46.26086956521739,66.6086956521739,30.347826086956523,73.04347826086956,,147.6086956521739,186.04347826086956,148.45,151.2173913043478,208.82608695652175,207.6086956521739,137.04347826086956,70.91304347826087,62.78260869565217,65.04347826086956,114.56521739130434,86.26086956521739,106.34782608695652,45.0,46.73913043478261,47.34782608695652,42.69565217391305,46.43478260869565,112.82608695652173,158.0,168.43478260869566,114.56521739130434,350.7826086956522,493.1304347826087,356.69565217391306,325.4347826086956,343.39130434782606,349.82608695652175,48.08695652173913,48.52173913043478,50.34782608695652,12.521739130434783,41.34782608695652,48.91304347826087,50.82608695652174,46.608695652173914,51.69565217391305,33.869565217391305,181.34782608695653,160.2173913043478,150.2608695652174,100.34782608695652,141.17391304347825,134.6086956521739,105.1304347826087,158.34782608695653,164.34782608695653,176.3913043478261,182.3913043478261,152.34782608695653,165.1304347826087,158.47826086956522
20151207,175.63636363636363,173.5,175.5,165.95454545454547,184.77272727272728,166.3,191.86363636363637,177.3181818181818,153.72727272727272,173.3181818181818,183.22727272727272,209.8181818181818,,69.81818181818181,68.9090909090909,62.26315789473684,76.27272727272727,64.13636363636364,83.0,,67.04545454545455,52.09090909090909,37.45454545454545,61.09090909090909,47.59090909090909,63.72727272727273,,197.0,178.72727272727272,195.8095238095238,193.63636363636363,226.86363636363637,249.86363636363637,188.8181818181818,93.5,89.81818181818181,98.95454545454545,127.68181818181819,122.13636363636364,115.63636363636364,36.142857142857146,41.95454545454545,44.31818181818182,34.5,47.22727272727273,281.6818181818182,270.77272727272725,264.09090909090907,287.6818181818182,229.45454545454547,315.6818181818182,231.9090909090909,211.54545454545453,210.47619047619048,227.04545454545453,33.72727272727273,34.04545454545455,113.2,29.09090909090909,91.95454545454545,84.54545454545455,91.31818181818181,88.18181818181819,90.95454545454545,66.4090909090909,156.27272727272728,148.0,167.22727272727272,125.04545454545455,159.9090909090909,163.04545454545453,116.36363636363636,261.72727272727275,271.3181818181818,264.54545454545456,248.3181818181818,204.86363636363637,192.47619047619048,224.5
20151208,228.85714285714286,234.33333333333334,253.52380952380952,210.42857142857142,271.57142857142856,253.66666666666666,259.0,250.9,227.0952380952381,221.23809523809524,264.14285714285717,278.42857142857144,,161.8095238095238,153.47619047619048,146.38095238095238,165.33333333333334,149.0952380952381,152.71428571428572,,177.28571428571428,153.33333333333334,166.38095238095238,145.1904761904762,119.95238095238095,207.85714285714286,,264.76190476190476,269.3333333333333,253.04761904761904,256.85714285714283,326.6666666666667,338.85,232.28571428571428,173.85714285714286,191.04761904761904,193.66666666666666,251.71428571428572,213.0,218.0,126.9047619047619,112.33333333333333,103.0952380952381,106.28571428571429,102.66666666666667,220.57142857142858,261.9047619047619,291.3333333333333,230.33333333333334,314.04761904761904,398.6190476190476,312.42857142857144,333.23809523809524,278.3333333333333,279.6666666666667,45.142857142857146,31.571428571428573,82.70588235294117,37.523809523809526,89.71428571428571,133.76190476190476,134.52380952380952,148.28571428571428,138.9047619047619,109.0,175.14285714285714,142.04761904761904,165.71428571428572,158.47619047619048,198.23809523809524,217.66666666666666,163.95238095238096,327.8095238095238,343.04761904761904,310.3333333333333,378.04761904761904,314.9047619047619,309.0952380952381,379.1904761904762
20151209,258.6666666666667,189.55,273.23809523809524,257.95238095238096,278.3809523809524,242.38095238095238,224.0,256.6190476190476,238.38095238095238,188.33333333333334,252.42857142857142,224.38095238095238,,268.57142857142856,245.8095238095238,212.85714285714286,238.57142857142858,193.57142857142858,268.23809523809524,,248.9047619047619,182.38095238095238,165.8095238095238,230.57142857142858,169.8095238095238,255.47619047619048,,329.0952380952381,329.76190476190476,336.15,314.5238095238095,356.7142857142857,417.6190476190476,282.76190476190476,265.0952380952381,263.76190476190476,272.5238095238095,330.0,291.04761904761904,316.4761904761905,136.38095238095238,148.8095238095238,134.14285714285714,143.76190476190476,131.42857142857142,387.9047619047619,604.3333333333334,519.3,354.1904761904762,248.1,336.3333333333333,258.3333333333333,255.85714285714286,232.14285714285714,250.76190476190476,84.9047619047619,92.85714285714286,93.42857142857143,51.61904761904762,120.9047619047619,186.14285714285714,203.04761904761904,213.76190476190476,180.23809523809524,157.28571428571428,290.9047619047619,267.3809523809524,290.0952380952381,282.3809523809524,163.85714285714286,146.9047619047619,152.0,440.7142857142857,440.23809523809524,440.0952380952381,477.6190476190476,405.95238095238096,413.9047619047619,492.85714285714283
20151210,115.45,78.55,123.45,113.5,123.65,124.15,118.2,119.05555555555556,118.36842105263158,87.15,130.1,115.65,,171.25,164.2,154.6,173.45,166.35,181.15,,186.75,203.1,183.2,190.05,170.45,190.35,,343.9,321.25,284.94736842105266,333.25,367.85,392.7,138.85,217.88888888888889,219.95,206.9,273.65,230.15,266.5,100.35,88.35,80.5,89.95,83.85,247.85,243.45,282.45,242.5,284.8421052631579,446.9,304.95,263.8,267.7,318.9,35.9,14.9,36.63157894736842,14.95,52.65,111.9,99.21052631578948,126.95,90.25,80.27777777777777,200.45,171.0,200.7,175.5,201.35,206.95,139.85,214.85,201.3,260.85,376.57894736842104,326.4,268.55,354.8
20151211,42.1,37.3,39.8,36.4,36.35,41.15,48.95,38.21052631578947,31.15,50.473684210526315,39.0,60.25,,51.63636363636363,45.142857142857146,31.0,40.36363636363637,39.27272727272727,55.72727272727273,,39.59090909090909,36.95454545454545,25.5,43.36363636363637,32.27272727272727,47.31818181818182,,195.1818181818182,205.22727272727272,171.54545454545453,168.9090909090909,193.3181818181818,182.5,92.36363636363636,24.636363636363637,46.68181818181818,26.636363636363637,58.77272727272727,45.81818181818182,39.81818181818182,12.714285714285714,6.0,13.136363636363637,7.045454545454546,8.590909090909092,124.13636363636364,156.9090909090909,142.63636363636363,124.27272727272727,88.45454545454545,144.22727272727272,125.5909090909091,101.63636363636364,110.31818181818181,92.0,32.77272727272727,11.363636363636363,41.54545454545455,18.363636363636363,40.45454545454545,37.5,37.86363636363637,40.04545454545455,49.04545454545455,23.272727272727273,61.04545454545455,40.40909090909091,64.5,43.54545454545455,29.772727272727273,43.5,22.09090909090909,97.22727272727273,82.45454545454545,86.0,125.72727272727273,125.54545454545455,112.4090909090909,121.72727272727273
20151212,178.95454545454547,85.5,140.9090909090909,153.4090909090909,145.5909090909091,116.31818181818181,100.4090909090909,115.0952380952381,61.31818181818182,96.63636363636364,99.54545454545455,118.0909090909091,,78.1,100.0909090909091,64.22727272727273,68.9090909090909,70.28571428571429,89.5,,68.22727272727273,69.04545454545455,79.0,64.9090909090909,60.95454545454545,104.36363636363636,,142.36363636363637,81.6923076923077,114.54545454545455,158.4090909090909,186.13636363636363,144.04545454545453,93.86363636363636,104.9090909090909,123.0,102.54545454545455,141.5,116.65,130.4090909090909,27.136363636363637,23.5,27.38095238095238,18.636363636363637,32.095238095238095,97.36363636363636,140.1818181818182,134.0909090909091,100.18181818181819,124.22727272727273,144.9090909090909,145.36363636363637,160.8181818181818,101.5909090909091,141.22727272727272,42.22727272727273,17.272727272727273,19.25,19.454545454545453,43.77272727272727,49.36363636363637,48.476190476190474,51.36363636363637,57.5,34.13636363636363,189.4090909090909,173.27272727272728,188.9090909090909,194.04545454545453,42.90909090909091,46.22727272727273,35.13636363636363,58.95454545454545,66.27272727272727,56.0,119.9090909090909,121.45454545454545,118.81818181818181,97.4090909090909
20151213,200.22222222222223,119.44444444444444,197.22222222222223,188.11111111111111,196.66666666666666,173.33333333333334,190.0,198.88888888888889,123.88888888888889,135.77777777777777,169.88888888888889,222.55555555555554,,106.44444444444444,128.77777777777777,86.44444444444444,108.11111111111111,106.88888888888889,136.44444444444446,,99.88888888888889,82.33333333333333,87.44444444444444,105.11111111111111,72.66666666666667,115.11111111111111,,204.66666666666666,188.11111111111111,157.66666666666666,159.55555555555554,202.55555555555554,218.88888888888889,194.11111111111111,112.0,109.0,110.11111111111111,156.33333333333334,135.11111111111111,160.11111111111111,39.77777777777778,27.333333333333332,39.111111111111114,30.333333333333332,31.833333333333332,95.11111111111111,148.77777777777777,162.0,124.33333333333333,318.55555555555554,400.22222222222223,328.44444444444446,296.3333333333333,229.44444444444446,307.1111111111111,31.555555555555557,15.222222222222221,22.0,17.77777777777778,40.77777777777778,74.11111111111111,73.88888888888889,72.11111111111111,70.33333333333333,45.22222222222222,253.55555555555554,223.22222222222223,271.8888888888889,269.55555555555554,186.44444444444446,167.11111111111111,130.11111111111111,179.11111111111111,171.88888888888889,149.22222222222223,99.22222222222223,118.33333333333333,89.77777777777777,100.44444444444444
20151214,177.6153846153846,49.84615384615385,68.76923076923077,141.92307692307693,78.84615384615384,94.76923076923077,61.84615384615385,112.92307692307692,137.3846153846154,58.07692307692308,71.38461538461539,155.23076923076923,,205.53846153846155,264.46153846153845,204.76923076923077,217.46153846153845,231.76923076923077,241.15384615384616,,181.69230769230768,191.30769230769232,205.3846153846154,201.6153846153846,160.53846153846155,199.92307692307693,,52.53846153846154,59.92307692307692,32.61538461538461,46.38461538461539,63.92307692307692,62.84615384615385,22.307692307692307,128.53846153846155,137.15384615384616,124.23076923076923,175.69230769230768,157.23076923076923,163.15384615384616,106.5,148.84615384615384,140.30769230769232,141.07692307692307,135.69230769230768,80.07692307692308,102.15384615384616,74.61538461538461,77.53846153846153,211.23076923076923,306.2307692307692,224.92307692307693,189.15384615384616,147.15384615384616,244.53846153846155,26.0,4.166666666666667,9.909090909090908,10.538461538461538,25.833333333333332,46.46153846153846,38.15384615384615,49.76923076923077,33.53846153846154,29.0,254.30769230769232,218.53846153846155,242.69230769230768,223.0,257.53846153846155,288.38461538461536,287.46153846153845,119.0,115.0,111.0,117.23076923076923,118.0,96.53846153846153,93.84615384615384
20151215,7.291666666666667,4.958333333333333,6.695652173913044,7.416666666666667,5.958333333333333,7.375,4.625,12.5,7.166666666666667,10.458333333333334,6.0,8.166666666666666,,79.08333333333333,94.83333333333333,61.125,48.291666666666664,87.08333333333333,75.70833333333333,,50.458333333333336,46.125,123.125,33.625,17.916666666666668,96.91666666666667,,15.083333333333334,16.875,16.0,8.666666666666666,14.583333333333334,16.125,13.875,12.375,29.0,12.375,29.416666666666668,30.791666666666668,18.416666666666668,34.47826086956522,25.916666666666668,35.708333333333336,36.833333333333336,24.958333333333332,30.125,41.0,27.833333333333332,25.181818181818183,23.166666666666668,22.458333333333332,20.458333333333332,21.833333333333332,20.25,21.083333333333332,20.75,3.7083333333333335,4.45,8.791666666666666,22.375,15.708333333333334,26.125,14.708333333333334,16.375,10.416666666666666,57.666666666666664,21.458333333333332,34.333333333333336,22.583333333333332,153.20833333333334,164.875,143.25,49.21739130434783,45.333333333333336,49.291666666666664,12.75,32.041666666666664,13.375,7.181818181818182
